Constituency No,Constituency Name,Total Rounds,Rounds Done,Candidate S.N.,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,1 - MEKLIGANJ (West Bengal),19,19,1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,89062,463,89525,40.91
1,1 - MEKLIGANJ (West Bengal),19,19,2,ILA RANI ROY,Indian National Congress,1276,12,1288,0.59
1,1 - MEKLIGANJ (West Bengal),19,19,3,KAMAL KUMAR ROY,All India Forward Bloc,2345,41,2386,1.09
1,1 - MEKLIGANJ (West Bengal),19,19,4,DADHIRAM RAY,Bharatiya Janata Party,118185,924,119109,54.42
1,1 - MEKLIGANJ (West Bengal),19,19,5,HITEN BARMAN,Socialist Unity Centre Of India (COMMUNIST),1383,9,1392,0.64
1,1 - MEKLIGANJ (West Bengal),19,19,6,KIRTTIRAM BARMAN,Independent,215,3,218,0.1
1,1 - MEKLIGANJ (West Bengal),19,19,7,KRISHNA BARMAN,Independent,231,0,231,0.11
1,1 - MEKLIGANJ (West Bengal),19,19,8,GOLAPI ROY,Independent,426,1,427,0.2
1,1 - MEKLIGANJ (West Bengal),19,19,9,PURNENDU ROY,Independent,897,3,900,0.41
1,1 - MEKLIGANJ (West Bengal),19,19,10,MANOJ KUMAR RAY,Independent,276,2,278,0.13
1,1 - MEKLIGANJ (West Bengal),19,19,11,HIRANMAY DEB SINGHA,Independent,978,1,979,0.45
1,1 - MEKLIGANJ (West Bengal),19,19,12,NOTA,None of the Above,2112,14,2126,0.97
2,2 - MATHABHANGA (West Bengal),24,24,1,KSHITENDRA NATH BARMAN,Indian National Congress,1110,8,1118,0.46
2,2 - MATHABHANGA (West Bengal),24,24,2,KHAGEN CHANDRA BARMAN,Communist Party of India (Marxist),3945,85,4030,1.67
2,2 - MATHABHANGA (West Bengal),24,24,3,NISHITH PRAMANIK,Bharatiya Janata Party,142057,1283,143340,59.27
2,2 - MATHABHANGA (West Bengal),24,24,4,MRITUNJOY BISWAS,Bahujan Samaj Party,1096,1,1097,0.45
2,2 - MATHABHANGA (West Bengal),24,24,5,DR. SABLU BARMAN,All India Trinamool Congress,85735,515,86250,35.66
2,2 - MATHABHANGA (West Bengal),24,24,6,PREMANANDA BARMAN,Kamatapur People's Party (United),753,2,755,0.31
2,2 - MATHABHANGA (West Bengal),24,24,7,BIKASH BARMAN,Socialist Unity Centre Of India (COMMUNIST),336,1,337,0.14
2,2 - MATHABHANGA (West Bengal),24,24,8,SUBODH BARMAN,Amra Bangalee,192,0,192,0.08
